Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
27.388,27.6,27.2,NO MAX_MODE,2022-03-02 20:02:47.506515
25.472,25.3,25.3,NO MAX_MODE,2022-03-02 20:11:55.002979
27.022,27.6,29.2,NO MAX_MODE,2022-03-02 20:16:25.786120
26.108,26.25,NO MODE,NO MAX_MODE,2022-03-02 20:20:44.902311
25.052,25.15,NO MODE,NO MAX_MODE,2022-03-02 20:28:14.652687
25.53,25.55,26.4,NO MAX_MODE,2022-03-02 20:57:02.153296
26.266,26.25,27.0,NO MAX_MODE,2022-03-02 21:05:32.336487
27.052,27.9,28.6,NO MAX_MODE,2022-03-02 21:15:56.452227
26.33,26.5,26.7,NO MAX_MODE,2022-03-02 21:23:10.144602
25.608,25.7,24.7,NO MAX_MODE,2022-03-02 21:41:53.436613
24.226,24.4,NO MODE,NO MAX_MODE,2022-03-02 21:59:45.545867
29.018,29.0,29.5,NO MAX_MODE,2022-03-02 22:29:29.055681
25.968,25.6,NO MODE,NO MAX_MODE,2022-03-02 22:34:38.479329
25.38,25.3,NO MODE,NO MAX_MODE,2022-03-02 22:48:07.290624
25.568,25.45,NO MODE,NO MAX_MODE,2022-03-02 22:57:33.942228
25.124,24.9,24.6,NO MAX_MODE,2022-03-02 23:16:34.089503
25.424,25.65,25.7,NO MAX_MODE,2022-03-02 23:26:48.955698
28.684,28.9,NO MODE,NO MAX_MODE,2022-03-03 00:03:39.320945
27.784,28.200000000000003,NO MODE,NO MAX_MODE,2022-03-03 00:18:17.817114
27.85,28.3,28.8,NO MAX_MODE,2022-03-03 01:32:29.920671
25.006,25.2,25.3,NO MAX_MODE,2022-03-03 04:06:22.386291
25.504,25.9,NO MODE,NO MAX_MODE,2022-03-03 04:10:33.031346
24.568,24.65,24.8,NO MAX_MODE,2022-03-03 04:21:57.798341
26.386,26.5,26.1,NO MAX_MODE,2022-03-03 04:32:21.030657
24.116,24.05,23.8,NO MAX_MODE,2022-03-03 08:28:55.908982
24.612,24.15,23.4,NO MAX_MODE,2022-03-03 09:56:25.927811
25.128,24.95,25.1,NO MAX_MODE,2022-03-03 10:03:35.872244
24.658,24.4,NO MODE,NO MAX_MODE,2022-03-03 10:11:49.444799
24.988,24.75,24.1,NO MAX_MODE,2022-03-03 10:24:34.230835
25.842,25.75,NO MODE,NO MAX_MODE,2022-03-03 10:34:52.064717
26.15,26.45,NO MODE,NO MAX_MODE,2022-03-03 11:31:07.352608
25.432,25.4,NO MODE,NO MAX_MODE,2022-03-03 11:39:43.807553
25.326,25.3,NO MODE,NO MAX_MODE,2022-03-03 11:50:40.063488
25.354,25.25,26.7,NO MAX_MODE,2022-03-03 12:15:52.480182
26.424,26.35,25.6,NO MAX_MODE,2022-03-03 12:38:19.995843
26.174,26.3,26.4,NO MAX_MODE,2022-03-03 12:53:58.034571
26.186,26.35,26.9,NO MAX_MODE,2022-03-03 13:10:49.172641
25.586,25.6,NO MODE,NO MAX_MODE,2022-03-03 13:25:18.418835
25.758,25.5,NO MODE,NO MAX_MODE,2022-03-03 14:08:58.373836
25.148,25.2,26.1,NO MAX_MODE,2022-03-03 14:51:24.925039
25.904,25.95,27.1,NO MAX_MODE,2022-03-03 14:59:53.240186
25.29,25.15,24.9,NO MAX_MODE,2022-03-03 15:16:56.253437
26.074,25.9,NO MODE,NO MAX_MODE,2022-03-03 15:26:45.155209
25.418,25.35,24.7,NO MAX_MODE,2022-03-03 15:33:07.764701
25.336,25.3,NO MODE,NO MAX_MODE,2022-03-03 15:44:53.445095
26.244,26.2,NO MODE,NO MAX_MODE,2022-03-03 16:31:06.405869
26.066,25.9,25.6,NO MAX_MODE,2022-03-03 16:40:27.129202
26.446,26.15,26.1,NO MAX_MODE,2022-03-03 16:48:46.519045
25.622,25.4,25.4,NO MAX_MODE,2022-03-03 17:45:41.336215
26.168,26.35,26.7,NO MAX_MODE,2022-03-03 18:13:03.846264
25.676,25.35,NO MODE,NO MAX_MODE,2022-03-03 18:23:11.554650
26.53,27.0,27.0,NO MAX_MODE,2022-03-03 18:36:06.910013
25.776,26.05,NO MODE,NO MAX_MODE,2022-03-03 19:15:31.736003
25.94,26.75,27.2,NO MAX_MODE,2022-03-03 19:38:16.750741
26.830000000000002,27.0,27.0,NO MAX_MODE,2022-03-03 20:09:52.539129
26.026,26.5,27.0,NO MAX_MODE,2022-03-03 20:14:02.076439
27.668,27.7,NO MODE,NO MAX_MODE,2022-03-03 20:20:23.694358
26.176,26.200000000000003,NO MODE,NO MAX_MODE,2022-03-03 20:23:09.247994
26.218,26.15,NO MODE,NO MAX_MODE,2022-03-03 21:00:24.831402
25.602,25.5,NO MODE,NO MAX_MODE,2022-03-03 21:05:50.204313
26.012,25.65,NO MODE,NO MAX_MODE,2022-03-03 21:12:08.529367
25.416,25.2,NO MODE,NO MAX_MODE,2022-03-03 21:15:31.393018
25.838,25.85,25.2,NO MAX_MODE,2022-03-03 22:29:11.821209
25.584,25.5,25.5,NO MAX_MODE,2022-03-03 22:38:06.113294
25.302,25.0,24.3,NO MAX_MODE,2022-03-03 22:48:36.060793
25.758,26.0,NO MODE,NO MAX_MODE,2022-03-04 01:48:27.594680
24.382,24.3,NO MODE,NO MAX_MODE,2022-03-04 02:17:27.198129
25.55,25.8,25.9,NO MAX_MODE,2022-03-04 02:36:02.240513
24.282,24.1,23.2,NO MAX_MODE,2022-03-04 05:23:07.682197
25.224,25.2,NO MODE,NO MAX_MODE,2022-03-04 05:32:42.154918
25.162,24.9,24.5,NO MAX_MODE,2022-03-04 11:30:22.739524
25.178,25.4,NO MODE,NO MAX_MODE,2022-03-04 11:36:10.338598
25.544,25.4,25.2,NO MAX_MODE,2022-03-04 11:47:35.007690
26.104,26.4,26.8,NO MAX_MODE,2022-03-04 13:07:37.828614
25.18,25.0,NO MODE,NO MAX_MODE,2022-03-04 13:15:54.916912
25.282,25.1,NO MODE,NO MAX_MODE,2022-03-04 13:31:00.706967
26.364,26.35,NO MODE,NO MAX_MODE,2022-03-04 13:40:30.002156
25.452,25.25,23.9,NO MAX_MODE,2022-03-04 13:46:45.465278
24.72,24.95,25.2,NO MAX_MODE,2022-03-04 13:50:21.969475
25.286,25.65,NO MODE,NO MAX_MODE,2022-03-04 14:00:42.014453
23.26,23.25,NO MODE,NO MAX_MODE,2022-03-04 14:38:59.136339
25.412,25.6,NO MODE,NO MAX_MODE,2022-03-04 14:47:15.889565
25.072,25.55,NO MODE,NO MAX_MODE,2022-03-04 15:01:36.329275
25.61,25.65,26.0,NO MAX_MODE,2022-03-04 15:32:56.281061
25.028,25.0,NO MODE,NO MAX_MODE,2022-03-04 16:05:00.569693
24.944,24.85,24.1,NO MAX_MODE,2022-03-04 16:12:44.528091
25.474,25.5,NO MODE,NO MAX_MODE,2022-03-04 16:25:45.396358
25.41,25.45,25.7,NO MAX_MODE,2022-03-04 16:33:36.615647
25.316,25.4,NO MODE,NO MAX_MODE,2022-03-04 16:41:07.371383
25.858,25.700000000000003,25.3,NO MAX_MODE,2022-03-04 16:49:08.610795
26.416,26.5,26.5,NO MAX_MODE,2022-03-04 16:56:02.267100
25.216,25.2,25.4,NO MAX_MODE,2022-03-04 17:23:11.017892
26.106,26.1,26.1,NO MAX_MODE,2022-03-04 17:38:33.100985
26.654,26.6,26.9,NO MAX_MODE,2022-03-04 17:44:00.018732
26.2,26.25,NO MODE,NO MAX_MODE,2022-03-04 17:47:38.516785
26.364,26.65,NO MODE,NO MAX_MODE,2022-03-04 17:50:49.922618
26.376,26.3,27.6,NO MAX_MODE,2022-03-04 18:11:35.734695
22.83,24.5,NO MODE,NO MAX_MODE,2022-03-04 18:36:36.138603
26.092,26.15,26.2,NO MAX_MODE,2022-03-04 18:56:54.433647
25.654,25.25,25.2,NO MAX_MODE,2022-03-04 19:10:40.088626
26.614,26.5,25.0,NO MAX_MODE,2022-03-04 19:21:20.713117
26.252,26.200000000000003,NO MODE,NO MAX_MODE,2022-03-04 19:26:29.029834
26.33,26.299999999999997,25.9,NO MAX_MODE,2022-03-04 19:38:48.284454
26.394,26.55,27.7,NO MAX_MODE,2022-03-04 19:50:54.428925
26.172,26.25,NO MODE,NO MAX_MODE,2022-03-04 20:03:39.437823
26.298,26.5,27.0,NO MAX_MODE,2022-03-04 20:10:39.704739
26.7,26.7,26.7,NO MAX_MODE,2022-03-04 20:16:02.871700
25.382,25.5,NO MODE,NO MAX_MODE,2022-03-04 20:25:35.371337
26.272,26.25,NO MODE,NO MAX_MODE,2022-03-04 20:32:51.150508
25.796,26.0,NO MODE,NO MAX_MODE,2022-03-04 20:46:22.158472
25.762,26.0,26.3,NO MAX_MODE,2022-03-04 21:04:18.339786
26.156,26.15,NO MODE,NO MAX_MODE,2022-03-04 21:10:21.040284
26.596,26.8,26.9,NO MAX_MODE,2022-03-04 21:39:24.926428
27.259999999999998,24.05,NO MODE,NO MAX_MODE,2022-03-06 18:50:42.870097
27.212,27.7,20.9,NO MAX_MODE,2022-03-06 18:54:01.544758
28.906,29.6,35.0,NO MAX_MODE,2022-03-06 19:47:19.156510
29.558,31.450000000000003,NO MODE,NO MAX_MODE,2022-03-06 20:08:04.305612
25.316,23.15,NO MODE,NO MAX_MODE,2022-03-06 20:26:37.689759
26.428,25.25,24.8,NO MAX_MODE,2022-03-06 21:30:38.891078
26.988,24.65,22.3,NO MAX_MODE,2022-03-07 02:17:12.653167
24.376,24.200000000000003,23.2,NO MAX_MODE,2022-03-07 05:19:04.462428
29.112,25.9,NO MODE,NO MAX_MODE,2022-03-07 05:47:00.651623
30.962,34.099999999999994,NO MODE,NO MAX_MODE,2022-03-07 08:58:15.803007
33.916,33.5,NO MODE,NO MAX_MODE,2022-03-07 09:26:24.650358
32.398,31.55,NO MODE,NO MAX_MODE,2022-03-07 10:05:16.868536
29.974,25.6,25.2,NO MAX_MODE,2022-03-07 11:04:29.782094
24.738,26.299999999999997,28.2,NO MAX_MODE,2022-03-07 12:24:58.951584
