Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2022-02-14 16:23:54.077578,120,0.1,begin session,Left,Right
2022-02-14 16:24:21.008968,120,0.1,room door closed,Left,Right
2022-02-14 16:24:21.145159,120,0.1,room door closed,Left,Right
2022-02-14 16:27:12.426309,+,,START,Left,Right
2022-02-14 16:27:33.190025,*,,BB2,Left,Right
2022-02-14 16:27:38.035814,*,,BB4,Left,Right
2022-02-14 16:28:11.181635,0.0,,Food_log_BB2,Left,Right
2022-02-14 16:28:26.173527,*,,BB3,Left,Right
2022-02-14 16:28:26.217685,,39,drink,Left,Right
2022-02-14 16:29:09.645216,1.6111,,Run_log_BB2,Left,Right
2022-02-14 16:29:09.651393,649338,39,exit_drink,Left,Right
2022-02-14 16:29:19.787226,-,,END,Left,Right
2022-02-14 16:38:10.126787,120,0.1,begin session,Left,Right
2022-02-14 16:39:08.117059,+,,START,Left,Right
2022-02-14 16:40:34.761230,*,,BB2,Left,Right
2022-02-14 16:40:53.516537,*,,BB3,Left,Right
2022-02-14 16:40:53.616139,,93,drink,Left,Right
2022-02-14 16:41:10.078578,0.5556,,Run_log_BB2,Left,Right
2022-02-14 16:41:10.085261,18736,93,exit_drink,Left,Right
2022-02-14 16:41:26.481275,*,,BB4,Left,Right
2022-02-14 16:41:52.957808,0.0,,Food_log_BB2,Left,Right
2022-02-14 16:42:02.097659,*,,BB3,Left,Right
2022-02-14 16:42:02.229995,,126,drink,Left,Right
2022-02-14 16:42:17.642337,120,0.1,room door opened,Left,Right
2022-02-14 16:42:20.602346,120,0.1,room door closed,Left,Right
2022-02-14 16:43:41.508402,2.4889,,Run_log_BB2,Left,Right
2022-02-14 16:43:41.513932,24926,126,exit_drink,Left,Right
2022-02-14 16:43:46.797315,120,0.1,room door opened,Left,Right
2022-02-14 16:43:55.918764,*,,BB4,Left,Right
2022-02-14 16:43:58.490865,120,0.1,room door closed,Left,Right
2022-02-14 16:44:00.415925,120,0.1,room door opened,Left,Right
2022-02-14 16:44:01.610720,120,0.1,room door closed,Left,Right
2022-02-14 16:44:02.305626,120,0.1,room door opened,Left,Right
2022-02-14 16:44:03.750647,120,0.1,room door closed,Left,Right
2022-02-14 16:44:03.967983,120,0.1,room door opened,Left,Right
2022-02-14 16:44:33.146864,120,0.1,room door closed,Left,Right
2022-02-14 16:45:53.870094,0.0,,Food_log_BB2,Left,Right
2022-02-14 16:46:00.700110,-,,END,Left,Right
2022-02-14 16:47:22.190038,120,0.1,room door closed,Left,Right
2022-02-14 17:11:26.526466,+,,START,Left,Right
2022-02-14 17:11:43.834393,*,,BB2,Left,Right
2022-02-14 17:11:47.912462,*,,BB4,Left,Right
2022-02-14 17:12:00.223730,0.0,,Food_log_BB2,Left,Right
2022-02-14 17:12:23.907653,*,,BB3,Left,Right
2022-02-14 17:12:23.939519,,25,drink,Left,Right
2022-02-14 17:13:12.220802,0.7222,,Run_log_BB2,Left,Right
2022-02-14 17:13:12.227137,1009411,25,exit_drink,Left,Right
2022-02-14 17:13:22.474710,*,,BB4,Left,Right
2022-02-14 17:15:02.571896,0.0,,Food_log_BB2,Left,Right
2022-02-14 17:15:11.643327,*,,BB4,Left,Right
2022-02-14 17:15:26.275308,0.0,,Food_log_BB2,Left,Right
2022-02-14 17:15:45.322521,*,,BB3,Left,Right
2022-02-14 17:15:45.475572,,147,drink,Left,Right
2022-02-14 17:16:09.528214,0.0,,Run_log_BB2,Left,Right
2022-02-14 17:16:09.534464,67342,147,exit_drink,Left,Right
2022-02-14 17:17:08.170401,*,,BB4,Left,Right
