Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
26.478,26.6,NO MODE,NO MAX_MODE,2022-06-18 14:10:22.503534
27.066,27.85,28.8,NO MAX_MODE,2022-06-18 14:26:51.186252
26.068,26.75,23.7,NO MAX_MODE,2022-06-18 14:47:11.223407
23.99,23.6,NO MODE,NO MAX_MODE,2022-06-18 16:37:11.618922
26.508,26.7,NO MODE,NO MAX_MODE,2022-06-18 17:04:30.489911
25.662,26.35,26.4,NO MAX_MODE,2022-06-18 18:58:52.643041
25.788,25.0,NO MODE,NO MAX_MODE,2022-06-18 19:05:16.583700
27.136,26.35,25.6,NO MAX_MODE,2022-06-18 20:07:11.967356
25.648,27.2,22.2,NO MAX_MODE,2022-06-18 20:24:16.080980
27.946,27.450000000000003,26.7,NO MAX_MODE,2022-06-18 20:42:57.723993
27.654,26.9,26.1,NO MAX_MODE,2022-06-18 21:02:41.783865
29.396,29.6,NO MODE,NO MAX_MODE,2022-06-18 21:08:16.070373
28.666,29.700000000000003,30.0,NO MAX_MODE,2022-06-18 22:22:50.196114
29.698,30.4,30.4,NO MAX_MODE,2022-06-18 22:43:49.860496
27.734,28.0,NO MODE,NO MAX_MODE,2022-06-18 22:52:09.927058
27.706,27.75,NO MODE,NO MAX_MODE,2022-06-18 23:02:46.483147
29.438,30.2,30.3,NO MAX_MODE,2022-06-19 00:31:54.680702
23.49,23.3,22.4,NO MAX_MODE,2022-06-19 00:43:02.819934
28.812,28.95,29.9,NO MAX_MODE,2022-06-19 00:53:58.638444
26.02,26.5,21.9,NO MAX_MODE,2022-06-19 04:29:58.116570
26.916,28.1,28.5,NO MAX_MODE,2022-06-19 04:44:25.376207
28.794,28.75,28.0,NO MAX_MODE,2022-06-19 04:52:19.788066
27.887999999999998,28.0,NO MODE,NO MAX_MODE,2022-06-19 05:05:49.919499
24.402,23.3,23.2,NO MAX_MODE,2022-06-19 09:38:20.047366
24.18,24.9,NO MODE,NO MAX_MODE,2022-06-19 13:39:05.715384
24.53,24.55,24.7,NO MAX_MODE,2022-06-19 13:46:33.708778
25.682,26.65,26.8,NO MAX_MODE,2022-06-19 14:03:58.739747
27.4,27.7,28.2,NO MAX_MODE,2022-06-19 15:27:14.159977
24.56,24.9,NO MODE,NO MAX_MODE,2022-06-19 16:11:59.374552
25.296,25.7,25.9,NO MAX_MODE,2022-06-19 16:38:56.679931
27.0,27.35,26.4,NO MAX_MODE,2022-06-19 17:40:17.952717
26.252,25.7,NO MODE,NO MAX_MODE,2022-06-19 17:51:33.238666
28.516000000000002,28.6,28.6,NO MAX_MODE,2022-06-19 18:16:47.613732
27.104,26.7,26.6,NO MAX_MODE,2022-06-19 18:52:21.384921
28.168,28.25,NO MODE,NO MAX_MODE,2022-06-19 19:07:34.652902
28.054,28.4,28.4,NO MAX_MODE,2022-06-19 19:14:56.151289
27.922,28.3,28.3,NO MAX_MODE,2022-06-19 19:24:48.886395
26.766000000000002,28.05,24.1,NO MAX_MODE,2022-06-19 19:28:21.441010
25.782,25.9,24.2,NO MAX_MODE,2022-06-19 19:32:30.763789
24.246,23.65,20.8,NO MAX_MODE,2022-06-20 09:19:46.606453
27.192,26.85,NO MODE,NO MAX_MODE,2022-06-20 09:28:09.408176
27.258,27.2,27.1,NO MAX_MODE,2022-06-20 11:23:07.423434
27.186,27.35,27.9,NO MAX_MODE,2022-06-20 11:40:01.845735
27.388,27.5,27.5,NO MAX_MODE,2022-06-20 11:56:43.293846
25.974,25.0,24.8,NO MAX_MODE,2022-06-20 12:03:44.537717
25.63,25.05,25.0,NO MAX_MODE,2022-06-20 12:07:53.197390
28.146,28.1,28.0,NO MAX_MODE,2022-06-20 12:12:23.643152
27.684,27.85,28.0,NO MAX_MODE,2022-06-20 12:18:23.361590
27.874,28.4,28.6,NO MAX_MODE,2022-06-20 12:23:14.502257
23.578,24.4,25.8,NO MAX_MODE,2022-06-20 12:27:36.365041
27.554,28.2,28.2,NO MAX_MODE,2022-06-20 12:33:49.840938
27.14,27.5,28.0,NO MAX_MODE,2022-06-20 12:44:06.136199
25.29,25.05,25.0,NO MAX_MODE,2022-06-20 13:40:41.320885
27.432,27.6,27.9,NO MAX_MODE,2022-06-20 13:46:13.838214
25.662,25.55,NO MODE,NO MAX_MODE,2022-06-20 13:58:27.577866
28.078,28.05,27.9,NO MAX_MODE,2022-06-20 14:12:50.558064
24.246,25.75,27.1,NO MAX_MODE,2022-06-20 17:33:54.824781
27.654,27.7,27.7,NO MAX_MODE,2022-06-20 18:02:04.646663
25.12,25.95,28.0,NO MAX_MODE,2022-06-20 18:11:34.935279
26.548000000000002,26.7,26.3,NO MAX_MODE,2022-06-20 18:50:20.543337
26.784,26.8,26.8,NO MAX_MODE,2022-06-20 19:36:19.182198
26.18,26.05,25.9,NO MAX_MODE,2022-06-20 20:17:07.302849
26.008,26.45,27.4,NO MAX_MODE,2022-06-20 20:32:54.916397
19.628,19.75,NO MODE,NO MAX_MODE,2022-06-20 21:03:44.693592
27.342,27.5,27.4,NO MAX_MODE,2022-06-20 21:29:08.425342
23.924,25.1,26.4,NO MAX_MODE,2022-06-20 21:47:25.627579
24.776,25.8,26.0,NO MAX_MODE,2022-06-20 22:02:01.584505
26.426,26.700000000000003,27.1,NO MAX_MODE,2022-06-20 22:25:56.049591
21.696,21.3,21.3,NO MAX_MODE,2022-06-20 22:30:08.988897
28.212,28.3,NO MODE,NO MAX_MODE,2022-06-20 22:40:33.432130
27.75,27.9,27.9,NO MAX_MODE,2022-06-20 22:45:07.402703
26.412,26.3,NO MODE,NO MAX_MODE,2022-06-20 23:00:28.816861
27.042,28.05,28.6,NO MAX_MODE,2022-06-20 23:04:31.645479
24.254,24.75,NO MODE,NO MAX_MODE,2022-06-21 02:14:13.322489
27.894,27.8,27.8,NO MAX_MODE,2022-06-21 02:17:32.342379
23.904,24.9,26.3,NO MAX_MODE,2022-06-21 05:17:33.058825
23.154,23.6,NO MODE,NO MAX_MODE,2022-06-21 05:26:52.897831
27.326,27.75,NO MODE,NO MAX_MODE,2022-06-21 05:40:04.312423
25.724,25.7,25.6,NO MAX_MODE,2022-06-21 09:10:24.297795
26.38,26.5,26.5,NO MAX_MODE,2022-06-21 09:19:06.043378
25.486,25.7,25.7,NO MAX_MODE,2022-06-21 09:44:15.914163
23.278,23.6,23.6,NO MAX_MODE,2022-07-01 23:45:42.520756
22.266,23.15,NO MODE,NO MAX_MODE,2022-07-01 23:54:25.370388
19.728,20.25,NO MODE,NO MAX_MODE,2022-07-01 23:58:49.653950
19.274,19.65,NO MODE,NO MAX_MODE,2022-07-02 00:03:50.259671
19.436,19.65,21.7,NO MAX_MODE,2022-07-02 00:14:25.158108
21.316,22.5,22.7,NO MAX_MODE,2022-07-02 00:28:01.562250
21.67,21.25,20.0,NO MAX_MODE,2022-07-02 01:08:33.389017
19.624,20.6,NO MODE,NO MAX_MODE,2022-07-02 03:17:00.438923
21.49,22.25,NO MODE,NO MAX_MODE,2022-07-02 04:26:13.133169
21.29,21.4,20.9,NO MAX_MODE,2022-07-02 08:26:00.429108
19.316,19.4,NO MODE,NO MAX_MODE,2022-07-02 10:28:09.807688
18.432,18.0,NO MODE,NO MAX_MODE,2022-07-02 10:50:19.244750
20.302,20.200000000000003,22.6,NO MAX_MODE,2022-07-02 11:27:04.548032
21.908,22.2,22.2,NO MAX_MODE,2022-07-02 12:38:48.033941
18.43,18.65,NO MODE,NO MAX_MODE,2022-07-02 14:36:06.713294
18.506,18.9,19.0,NO MAX_MODE,2022-07-02 15:56:41.735875
21.694,21.9,NO MODE,NO MAX_MODE,2022-07-02 16:27:18.072193
19.932,20.3,22.7,NO MAX_MODE,2022-07-02 16:37:50.539819
20.512,20.9,NO MODE,NO MAX_MODE,2022-07-02 16:49:20.814554
25.186,25.55,25.7,NO MAX_MODE,2022-07-02 18:39:54.879745
24.932,24.95,25.1,NO MAX_MODE,2022-07-02 23:37:15.259095
25.922,25.9,26.2,NO MAX_MODE,2022-07-03 00:09:59.826962
26.396,26.25,27.1,NO MAX_MODE,2022-07-03 00:22:42.847248
25.614,25.45,NO MODE,NO MAX_MODE,2022-07-03 02:46:41.638187
